#OTU_ID	SAKR1	SAKR2
OTU_40	20	21
OTU_12	28	24
OTU_1998	6	5
OTU_318	0	0
OTU_1132	0	0
OTU_49	48	122
OTU_87	0	4
OTU_68	54	87
OTU_271	0	5
OTU_194	3	6
OTU_70	1	2
OTU_50	84	112
OTU_83141	0	0
OTU_215	13	36
OTU_3129	0	0
OTU_28	0	0
OTU_26	298	491
OTU_86307	29	43
OTU_10517	0	0
OTU_196	0	0
OTU_36434	6	8
OTU_149	0	2
OTU_1472	0	0
OTU_245	0	0
OTU_299	2	4
OTU_2	18	13
OTU_46	669	843
OTU_129	180	268
OTU_412	61	83
OTU_1	1411	2339
OTU_37	77	97
OTU_167	8	9
OTU_165	0	0
OTU_61103	0	0
OTU_72616	0	0
OTU_1299	2	3
OTU_135	217	338
OTU_1395	0	0
OTU_95684	0	0
OTU_480	11	9
OTU_680	3	14
OTU_230	30	24
OTU_92510	0	0
OTU_897	0	0
OTU_10	108	168
OTU_67	11	10
OTU_484	3	1
OTU_30	0	0
OTU_13374	2	0
OTU_80279	4	5
OTU_2548	3	16
OTU_3	0	1
OTU_120	29	30
OTU_1952	0	5
OTU_41	0	0
OTU_52	41	75
OTU_249	4	12
OTU_26769	7	4
OTU_1408	1	0
OTU_5002	0	0
OTU_511	1	3
OTU_54187	4	3
OTU_26252	0	0
OTU_21611	0	2
OTU_3146	0	0
OTU_4604	0	0
OTU_8	3	2
OTU_26863	0	0
OTU_353	0	3
OTU_82848	0	0
OTU_224	124	175
OTU_60035	7	5
OTU_14329	0	0
OTU_53	55	49
OTU_4313	0	2
OTU_295	0	0
OTU_4795	1	0
OTU_25352	8	15
OTU_1074	112	125
OTU_3554	0	0
OTU_1042	0	2
OTU_1046	0	1
OTU_110	5	8
OTU_90012	3	7
OTU_3498	0	0
OTU_162	4	8
OTU_5288	2	9
OTU_3161	1	0
OTU_33	116	194
OTU_6	451	848
OTU_5949	0	0
OTU_109	8	17
OTU_1674	0	0
OTU_700	0	1
OTU_134	0	0
OTU_51630	0	0
OTU_36608	67	91
OTU_209	12	15
OTU_32	1	1
OTU_2127	0	0
OTU_64300	3	3
OTU_25259	0	1
OTU_86911	36	49
OTU_2478	0	0
OTU_15732	0	0
OTU_303	17	15
OTU_35709	5	9
OTU_103	7	14
OTU_518	0	0
OTU_27	107	163
OTU_810	3	6
OTU_36476	0	0
OTU_38	66	131
OTU_58	66	114
OTU_55841	0	0
OTU_20281	10	9
OTU_51526	0	0
OTU_3946	0	0
OTU_34755	2	2
OTU_67969	3	2
OTU_22	159	291
OTU_18946	1	0
OTU_12705	0	0
OTU_60213	0	0
OTU_1988	0	0
OTU_1995	0	1
OTU_24	0	0
OTU_55813	59	25
OTU_9663	0	0
OTU_841	2	2
OTU_36503	0	2
OTU_95875	432	761
OTU_1087	11	19
OTU_46960	0	1
OTU_1748	0	0
OTU_13812	1	1
OTU_60670	9	14
OTU_30266	10	9
OTU_247	0	0
OTU_150	2	3
OTU_11	83	84
OTU_2646	90	127
OTU_791	0	1
OTU_66	1	1
OTU_35882	0	0
OTU_1469	11	3
OTU_2852	0	0
OTU_86410	72	143
OTU_56959	162	210
OTU_79264	28	46
OTU_614	0	0
OTU_173	42	52
OTU_61035	57	78
OTU_179	21	31
OTU_65	74	96
OTU_342	8	15
OTU_164	7	7
OTU_20301	22	51
OTU_798	12	15
OTU_90840	1	0
OTU_105	1	4
OTU_546	21	12
OTU_60693	0	0
OTU_7	44	58
OTU_658	0	3
OTU_1858	2	5
OTU_62655	0	0
OTU_624	0	0
OTU_301	1	1
OTU_239	17	45
OTU_1927	0	0
OTU_4176	0	0
OTU_88939	0	0
OTU_92644	0	0
OTU_684	0	0
OTU_34834	0	0
OTU_22055	0	0
OTU_82694	0	0
OTU_94397	6	3
OTU_54746	0	0
OTU_17	95	171
OTU_67978	67	97
OTU_2882	0	0
OTU_243	13	14
OTU_276	6	4
OTU_73710	5	3
OTU_56	738	746
OTU_735	2	6
OTU_464	0	0
OTU_2067	1	4
OTU_81199	0	0
OTU_2445	0	0
OTU_10837	1	0
OTU_78	227	357
OTU_41354	0	0
OTU_39303	2	0
OTU_91	1	4
OTU_91358	36	54
OTU_54	18	38
OTU_17180	1	0
OTU_95968	0	0
OTU_662	58	59
OTU_94795	0	0
OTU_51490	1	5
OTU_51556	0	0
OTU_15362	0	0
OTU_727	0	0
OTU_148	2	7
OTU_50589	6	9
OTU_30705	0	1
OTU_1017	16	19
OTU_76204	79	159
OTU_64195	1037	1047
OTU_24789	39	68
OTU_466	27	29
OTU_45114	19	16
OTU_66561	0	3
OTU_72	46	67
OTU_104	0	0
OTU_125	373	570
OTU_846	5	16
OTU_581	0	1
OTU_2406	15	24
OTU_400	0	0
OTU_80661	0	0
OTU_3202	0	0
OTU_2424	0	0
OTU_82	19	23
OTU_195	7	6
OTU_341	0	0
OTU_13	27	45
OTU_27522	0	2
OTU_20	59	90
OTU_275	84	82
OTU_3433	0	0
OTU_352	5	3
OTU_203	24	28
OTU_389	5	7
OTU_45361	0	0
OTU_130	0	0
OTU_44094	0	1
OTU_37501	0	0
OTU_212	4	14
OTU_240	24	28
OTU_43853	8	31
OTU_4883	0	0
OTU_27767	0	0
OTU_34	32	56
OTU_308	2	5
OTU_96896	0	0
OTU_2574	0	0
OTU_49544	9	7
OTU_34703	0	0
OTU_83	2844	4020
OTU_175	15	26
OTU_1830	61	69
OTU_3831	0	0
OTU_1371	36	48
OTU_13985	0	0
OTU_43	62	79
OTU_15382	6	2
OTU_273	15	12
OTU_619	0	1
OTU_76046	1	0
OTU_237	9	10
OTU_18330	7	9
OTU_6474	0	0
OTU_70620	0	0
OTU_11327	0	0
OTU_67765	5	0
OTU_2812	0	0
OTU_602	0	0
OTU_25396	23	35
OTU_1688	0	0
OTU_67489	3	3
OTU_17548	0	0
OTU_4739	82	88
OTU_10341	0	0
OTU_65284	0	0
OTU_1978	0	0
OTU_205	344	509
OTU_225	8	25
OTU_603	0	1
OTU_6683	0	0
OTU_460	2	1
OTU_13362	0	0
OTU_13466	0	1
OTU_131	1	5
OTU_19404	0	0
OTU_43962	0	1
OTU_360	0	0
OTU_54223	0	0
OTU_567	0	0
OTU_609	2	0
OTU_71	62	94
OTU_4310	0	0
OTU_1208	0	0
OTU_5401	141	230
OTU_49678	0	0
OTU_72126	0	0
OTU_2140	1	1
OTU_39493	0	0
OTU_4067	0	0
OTU_928	9	8
OTU_424	4	21
OTU_3757	0	0
OTU_84532	0	0
OTU_81863	2	7
OTU_3926	6	10
OTU_34646	0	3
OTU_587	10	15
OTU_69044	0	0
OTU_7780	0	0
OTU_504	12	5
OTU_31697	3	2
OTU_34846	0	0
OTU_25506	0	2
OTU_5471	0	0
OTU_182	2	1
OTU_305	0	0
OTU_732	0	0
OTU_93116	87	126
OTU_32547	0	0
OTU_55768	0	0
OTU_394	16	11
OTU_495	30	27
OTU_53579	9	15
OTU_30499	0	0
OTU_28862	6	8
OTU_34361	15	17
OTU_1703	0	0
OTU_124	74	65
OTU_401	0	0
OTU_214	0	0
OTU_1304	3	11
OTU_248	44	58
OTU_24256	0	0
OTU_33379	0	0
OTU_782	0	0
OTU_395	7	21
OTU_471	1	0
OTU_1693	0	1
OTU_36652	7	10
OTU_1577	0	0
OTU_95	68	139
OTU_45250	2	4
OTU_206	3	5
OTU_2151	0	1
OTU_39628	8	12
OTU_4271	28	18
OTU_41130	0	0
OTU_253	3	9
OTU_108	7	15
OTU_117	79	117
OTU_747	3	3
OTU_82343	0	0
OTU_3006	0	0
OTU_16	34	48
OTU_51716	0	0
OTU_46347	0	0
OTU_63600	20	13
OTU_14021	0	1
OTU_307	17	16
OTU_361	7	19
OTU_2332	9	14
OTU_19355	6	6
OTU_49591	0	0
OTU_376	2	8
OTU_386	0	0
OTU_873	0	0
OTU_73815	0	0
OTU_2037	146	220
OTU_379	15	35
OTU_7701	0	2
OTU_1986	0	0
OTU_60210	28	35
OTU_1825	0	0
OTU_31883	2	5
OTU_76574	22	28
OTU_231	0	1
OTU_23227	0	1
OTU_204	150	185
OTU_62	213	306
OTU_22175	40	40
OTU_23	34	38
OTU_1129	0	0
OTU_15840	0	0
OTU_6461	0	0
OTU_171	34	35
OTU_91330	0	0
OTU_8540	1	0
OTU_83285	23	45
OTU_83761	3	9
OTU_40432	0	0
OTU_87839	0	0
OTU_72731	0	0
OTU_1606	0	2
OTU_44	0	1
OTU_618	0	0
OTU_8785	12	16
OTU_6451	0	0
OTU_229	1	6
OTU_1344	1	2
OTU_43288	2	0
OTU_96128	0	0
OTU_85495	6	5
OTU_1796	8	3
OTU_191	0	5
OTU_2378	0	0
OTU_9788	3	12
OTU_163	1	2
OTU_113	126	207
OTU_52757	0	0
OTU_14	43	44
OTU_28184	0	0
OTU_3725	2	5
OTU_1171	2	1
OTU_2282	0	0
OTU_72901	0	0
OTU_218	0	1
OTU_67613	0	0
OTU_4834	0	0
OTU_21	425	746
OTU_3864	0	0
OTU_9850	17	30
